timestamp,emigId,apparentPower,currentL1,currentL2,currentL3,dcCurrent,dcVoltage,importActivePower,importEnergy,mainsFrequency,reactivePower,stateCode,ts:
2025-09-11T15:00:00.000000Z,INVERT:003225,2774,4.26,4.34,4.38,0.4,659.02,2766,24461000,49.964,-20,1,2025-09-11T15:00:00.000000Z
2025-09-11T15:30:00.000000Z,INVERT:003225,2055,3.283,3.383,3.4,0.65,642.767,2137,24462000,49.928,-45,1,2025-09-11T15:30:00.000000Z
2025-09-11T16:00:00.000000Z,INVERT:003225,10522,14.317,14.483,14.333,1.3,666.683,10448,24463000,49.955,-107,1,2025-09-11T16:00:00.000000Z
2025-09-11T16:30:00.000000Z,INVERT:003225,4368,6.05,6.2,6.167,0.917,621.783,4420,24468000,49.972,-52,1,2025-09-11T16:30:00.000000Z
2025-09-11T17:00:00.000000Z,INVERT:003225,2067,3.233,3.367,3.35,0.5,654.533,1872,24470000,49.885,-20,1,2025-09-11T17:00:00.000000Z
2025-09-11T17:30:00.000000Z,INVERT:003225,955,1.917,1.95,2.0,0.367,634.383,828,24471000,50.003,-30,1,2025-09-11T17:30:00.000000Z
2025-09-11T18:00:00.000000Z,INVERT:003225,98,1.433,1.417,1.45,0.15,624.183,48,24471000,49.988,-20,1,2025-09-11T18:00:00.000000Z
2025-09-11T18:30:00.000000Z,INVERT:003225,88,1.45,1.383,1.45,,465.76,20,24471000,49.982,-32,1,2025-09-11T18:30:00.000000Z
2025-09-11T19:00:00.000000Z,INVERT:003225,93,1.367,1.4,1.4,,255.433,20,24471000,49.997,-20,1,2025-09-11T19:00:00.000000Z
2025-09-11T20:00:00.000000Z,INVERT:003225,90,1.3,1.4,1.4,,189.6,20,24471000,49.99,,1,2025-09-11T20:00:00.000000Z
2025-09-12T05:00:00.000000Z,INVERT:003225,65,0.95,1.0,1.0,,406.7,20,24471000,49.9,-30,1,2025-09-12T05:00:00.000000Z
2025-09-12T05:30:00.000000Z,INVERT:003225,147,1.617,1.55,1.65,0.25,640.4,98,24471000,49.885,-14,1,2025-09-12T05:30:00.000000Z
2025-09-12T06:00:00.000000Z,INVERT:003225,2527,3.8,3.85,3.9,0.65,622.383,2485,24471000,49.957,-54,1,2025-09-12T06:00:00.000000Z
2025-09-12T06:30:00.000000Z,INVERT:003225,6032,8.517,8.8,8.683,1.05,657.7,6038,24473000,50.05,-90,1,2025-09-12T06:30:00.000000Z
2025-09-12T07:00:00.000000Z,INVERT:003225,11463,15.55,15.7,15.583,1.817,657.017,11372,24476000,50.028,-180,1,2025-09-12T07:00:00.000000Z
2025-09-12T07:30:00.000000Z,INVERT:003225,15367,19.75,19.85,19.75,2.533,658.75,15727,24482000,50.003,-183,1,2025-09-12T07:30:00.000000Z
2025-09-12T08:00:00.000000Z,INVERT:003225,19553,25.717,25.883,25.717,3.767,660.617,18878,24490000,50.003,-220,1,2025-09-12T08:00:00.000000Z
2025-09-12T08:30:00.000000Z,INVERT:003225,8572,11.55,11.717,11.583,1.7,628.633,8648,24500000,50.033,-112,1,2025-09-12T08:30:00.000000Z
2025-09-12T09:00:00.000000Z,INVERT:003225,20385,27.55,27.717,27.483,3.6,663.917,20380,24504000,49.947,-267,1,2025-09-12T09:00:00.000000Z
2025-09-12T09:30:00.000000Z,INVERT:003225,16123,23.233,23.383,23.183,2.95,638.067,17137,24515000,50.018,-238,1,2025-09-12T09:30:00.000000Z
2025-09-12T10:00:00.000000Z,INVERT:003225,27738,37.5,37.683,37.35,5.617,629.133,27838,24523000,49.972,-310,1,2025-09-12T10:00:00.000000Z
2025-09-12T10:30:00.000000Z,INVERT:003225,18280,24.583,24.75,24.633,4.133,576.467,17937,24538000,49.982,-240,1,2025-09-12T10:30:00.000000Z
2025-09-12T11:00:00.000000Z,INVERT:003225,29332,38.5,38.667,38.45,6.333,538.15,25398,24547000,49.913,-332,1,2025-09-12T11:00:00.000000Z
2025-09-12T11:30:00.000000Z,INVERT:003225,31748,44.25,44.433,44.083,7.15,617.033,33135,24559000,50.005,-365,1,2025-09-12T11:30:00.000000Z
2025-09-12T12:00:00.000000Z,INVERT:003225,14153,18.7,18.817,18.65,4.017,618.933,13660,24574000,49.893,-183,1,2025-09-12T12:00:00.000000Z
2025-09-12T12:30:00.000000Z,INVERT:003225,19125,25.45,25.617,25.45,3.967,563.067,19223,24584000,49.998,-207,1,2025-09-12T12:30:00.000000Z
2025-09-12T13:00:00.000000Z,INVERT:003225,16967,22.733,22.9,22.717,3.717,632.567,16710,24594000,49.967,-185,1,2025-09-12T13:00:00.000000Z
2025-09-12T13:30:00.000000Z,INVERT:003225,7742,12.017,12.133,12.033,1.8,658.433,8602,24601000,49.972,-96,1,2025-09-12T13:30:00.000000Z
2025-09-12T14:00:00.000000Z,INVERT:003225,8262,11.05,11.15,11.117,1.333,642.567,8138,24607000,49.943,-103,1,2025-09-12T14:00:00.000000Z
2025-09-12T14:30:00.000000Z,INVERT:003225,13257,16.967,17.133,16.983,2.617,631.55,12428,24611000,49.967,-153,1,2025-09-12T14:30:00.000000Z
2025-09-12T15:00:00.000000Z,INVERT:003225,12042,16.117,16.283,16.1,2.333,637.9,11713,24619000,50.012,-187,1,2025-09-12T15:00:00.000000Z
2025-09-12T15:30:00.000000Z,INVERT:003225,11825,16.1,16.233,16.133,1.633,636.483,11708,24625000,49.93,-167,1,2025-09-12T15:30:00.000000Z
2025-09-12T16:00:00.000000Z,INVERT:003225,4022,5.6,5.733,5.717,0.925,674.233,3947,24630000,50.005,-78,1,2025-09-12T16:00:00.000000Z
2025-09-12T16:30:00.000000Z,INVERT:003225,4545,6.2,6.383,6.317,0.62,660.133,4493,24634000,49.945,-62,1,2025-09-12T16:30:00.000000Z
2025-09-12T17:00:00.000000Z,INVERT:003225,1428,2.483,2.533,2.583,0.65,658.267,1402,24636000,49.953,-27,1,2025-09-12T17:00:00.000000Z
2025-09-12T17:30:00.000000Z,INVERT:003225,290,1.617,1.6,1.683,0.26,652.767,243,24636000,49.937,-27,1,2025-09-12T17:30:00.000000Z
2025-09-12T18:00:00.000000Z,INVERT:003225,88,1.617,1.55,1.633,0.1,620.5,28,24636000,49.997,-20,1,2025-09-12T18:00:00.000000Z
2025-09-12T18:30:00.000000Z,INVERT:003225,96,1.48,1.46,1.48,,470.533,20,24636000,49.948,-26,1,2025-09-12T18:30:00.000000Z
2025-09-12T19:00:00.000000Z,INVERT:003225,65,1.7,1.7,1.7,,327.2,20,24636000,49.94,-20,1,2025-09-12T19:00:00.000000Z
2025-09-12T20:00:00.000000Z,INVERT:003225,80,1.7,1.6,1.6,,328.3,20,24636000,50.01,-50,1,2025-09-12T20:00:00.000000Z
2025-09-13T05:00:00.000000Z,INVERT:003225,30,0.4,0.5,0.6,,178.2,20,24636000,50.06,-20,1,2025-09-13T05:00:00.000000Z
