timestamp,emigId,apparentPower,currentL1,currentL2,currentL3,dcCurrent,dcVoltage,importActivePower,importEnergy,mainsFrequency,reactivePower,stateCode,ts:
2025-06-19T14:30:00.000000Z,INVERT:002943,52460,71.15,71.325,71.2,5.975,414.05,52378,2935000,49.977,-115,1,2025-06-19T14:30:00.000000Z
2025-06-19T15:00:00.000000Z,INVERT:002943,49117,65.883,66.1,66.167,5.8,397.15,49143,2964000,50.035,-45,1,2025-06-19T15:00:00.000000Z
2025-06-19T15:30:00.000000Z,INVERT:002943,41387,55.783,55.95,55.95,5.067,383.583,41420,2988000,49.997,-68,1,2025-06-19T15:30:00.000000Z
2025-06-19T16:00:00.000000Z,INVERT:002943,32578,43.6,43.9,43.86,4.08,362.22,32636,3008000,49.916,-52,1,2025-06-19T16:00:00.000000Z
2025-06-19T16:30:00.000000Z,INVERT:002943,27945,37.45,37.733,37.733,3.25,365.883,27988,3025000,49.983,-95,1,2025-06-19T16:30:00.000000Z
2025-06-19T17:00:00.000000Z,INVERT:002943,20555,27.533,27.883,27.817,2.2,374.417,20580,3039000,49.985,-73,1,2025-06-19T17:00:00.000000Z
2025-06-19T17:30:00.000000Z,INVERT:002943,13210,17.8,17.92,17.96,1.34,401.32,13278,3050000,50.002,-62,1,2025-06-19T17:30:00.000000Z
2025-06-19T18:00:00.000000Z,INVERT:002943,11048,15.08,15.16,15.12,0.1,51.4,11082,3055000,49.948,-52,1,2025-06-19T18:00:00.000000Z
2025-06-19T18:30:00.000000Z,INVERT:002943,12202,16.78,16.78,16.9,1.14,439.8,12236,3061000,49.982,-78,1,2025-06-19T18:30:00.000000Z
2025-06-19T19:00:00.000000Z,INVERT:002943,8264,11.38,11.52,11.56,0.1,50.7,8306,3067000,50.032,-88,1,2025-06-19T19:00:00.000000Z
2025-06-19T19:30:00.000000Z,INVERT:002943,3670,5.175,5.275,5.375,0.1,77.1,3685,3071000,50.02,-65,1,2025-06-19T19:30:00.000000Z
2025-06-19T20:00:00.000000Z,INVERT:002943,1197,2.217,2.367,2.367,0.1,82.133,1228,3072000,49.968,-78,1,2025-06-19T20:00:00.000000Z
2025-06-19T20:30:00.000000Z,INVERT:002943,445,1.7,1.8,1.8,0.1,74.42,460,3073000,49.98,-73,1,2025-06-19T20:30:00.000000Z
2025-06-19T21:00:00.000000Z,INVERT:002943,55,1.667,1.6,1.667,0.1,74.367,38,3073000,50.018,-68,1,2025-06-19T21:00:00.000000Z
2025-06-19T21:30:00.000000Z,INVERT:002943,115,1.7,1.6,1.7,0.2,329.45,20,3073000,50.075,-65,1,2025-06-19T21:30:00.000000Z
2025-06-19T22:30:00.000000Z,INVERT:002943,130,1.7,1.5,1.7,0.2,293.1,20,3073000,50.09,-50,1,2025-06-19T22:30:00.000000Z
2025-06-20T02:30:00.000000Z,INVERT:002943,,,,,,295.1,,3073000,50.06,,1,2025-06-20T02:30:00.000000Z
2025-06-20T03:00:00.000000Z,INVERT:002943,40,2.4,1.971,1.586,0.1,76.45,53,3073000,49.99,-60,1,2025-06-20T03:00:00.000000Z
2025-06-20T03:30:00.000000Z,INVERT:002943,457,1.767,1.8,1.867,0.1,83.3,468,3073000,49.975,-88,1,2025-06-20T03:30:00.000000Z
2025-06-20T04:00:00.000000Z,INVERT:002943,2173,3.25,3.517,3.483,0.1,76.775,2205,3073000,49.94,-78,1,2025-06-20T04:00:00.000000Z
2025-06-20T04:30:00.000000Z,INVERT:002943,4292,5.867,6.167,6.05,0.1,66.225,4318,3075000,50.03,-73,1,2025-06-20T04:30:00.000000Z
2025-06-20T05:00:00.000000Z,INVERT:002943,12837,17.433,17.7,17.567,0.1,68.9,12867,3077000,50.058,-68,1,2025-06-20T05:00:00.000000Z
2025-06-20T05:30:00.000000Z,INVERT:002943,13836,18.92,19.2,19.0,1.26,461.84,13858,3083000,50.032,-70,1,2025-06-20T05:30:00.000000Z
2025-06-20T06:00:00.000000Z,INVERT:002943,28643,38.833,39.133,38.967,2.9,466.2,28663,3094000,50.02,-50,1,2025-06-20T06:00:00.000000Z
2025-06-20T06:30:00.000000Z,INVERT:002943,39147,53.283,53.517,53.35,4.0,460.233,39155,3106000,49.97,-48,1,2025-06-20T06:30:00.000000Z
2025-06-20T07:00:00.000000Z,INVERT:002943,42005,57.6,57.783,57.6,4.483,451.65,42040,3126000,49.96,-76,1,2025-06-20T07:00:00.000000Z
2025-06-20T07:30:00.000000Z,INVERT:002943,47830,65.42,65.62,65.54,5.04,448.58,47882,3147000,49.932,-70,1,2025-06-20T07:30:00.000000Z
2025-06-20T08:00:00.000000Z,INVERT:002943,50802,69.1,69.2,69.025,5.4,445.125,50872,3173000,49.888,-92,1,2025-06-20T08:00:00.000000Z
2025-06-20T08:30:00.000000Z,INVERT:002943,62830,85.86,86.0,85.82,6.38,423.54,62936,3198000,49.942,-65,1,2025-06-20T08:30:00.000000Z
