timestamp,emigId,apparentPower,currentL1,currentL2,currentL3,dcCurrent,dcVoltage,importActivePower,importEnergy,mainsFrequency,reactivePower,stateCode,ts:
2025-06-20T09:30:00.000000Z,INVERT:002944,7440,10.0,10.0,9.9,10.233,393.367,7440,49904000,49.903,13,1,2025-06-20T09:30:00.000000Z
2025-06-20T10:00:00.000000Z,INVERT:002944,13334,17.88,17.82,17.78,18.06,395.7,13338,49908000,50.02,17,1,2025-06-20T10:00:00.000000Z
2025-06-20T10:30:00.000000Z,INVERT:002944,16066,21.5,21.4,21.38,22.48,379.16,16072,49913000,49.954,2,1,2025-06-20T10:30:00.000000Z
2025-06-20T11:00:00.000000Z,INVERT:002944,8860,11.867,11.8,11.8,12.367,390.633,8865,49921000,50.032,3,1,2025-06-20T11:00:00.000000Z
2025-06-20T11:30:00.000000Z,INVERT:002944,7882,10.54,10.46,10.52,10.98,402.38,7884,49926000,50.076,10,1,2025-06-20T11:30:00.000000Z
2025-06-20T12:00:00.000000Z,INVERT:002944,12100,16.133,16.1,16.1,16.767,393.067,12107,49930000,50.005,-7,1,2025-06-20T12:00:00.000000Z
2025-06-20T12:30:00.000000Z,INVERT:002944,13422,17.917,17.833,17.833,19.0,375.9,13428,49936000,50.025,-17,1,2025-06-20T12:30:00.000000Z
2025-06-20T13:00:00.000000Z,INVERT:002944,11633,15.517,15.483,15.45,16.183,384.5,11643,49943000,49.992,-12,1,2025-06-20T13:00:00.000000Z
2025-06-20T13:30:00.000000Z,INVERT:002944,6866,9.16,9.16,9.16,9.78,401.68,6872,49949000,50.014,-16,1,2025-06-20T13:30:00.000000Z
2025-06-20T14:00:00.000000Z,INVERT:002944,5875,7.85,7.833,7.833,8.317,406.15,5885,49952000,49.962,-20,1,2025-06-20T14:00:00.000000Z
2025-06-20T14:30:00.000000Z,INVERT:002944,6483,8.65,8.617,8.6,9.0,405.033,6488,49955000,50.048,-20,1,2025-06-20T14:30:00.000000Z
2025-06-20T15:00:00.000000Z,INVERT:002944,6330,8.46,8.44,8.36,8.82,404.42,6334,49959000,50.016,-26,1,2025-06-20T15:00:00.000000Z
2025-06-20T15:30:00.000000Z,INVERT:002944,9990,13.28,13.28,13.18,13.9,395.5,9996,49962000,50.05,-22,1,2025-06-20T15:30:00.000000Z
2025-06-20T16:00:00.000000Z,INVERT:002944,4726,6.28,6.28,6.22,7.02,402.18,4730,49967000,50.018,-30,1,2025-06-20T16:00:00.000000Z
2025-06-20T16:30:00.000000Z,INVERT:002944,6738,8.975,8.975,8.925,9.475,403.0,6742,49970000,50.062,-35,1,2025-06-20T16:30:00.000000Z
2025-06-20T17:00:00.000000Z,INVERT:002944,4988,6.68,6.62,6.58,7.18,404.86,4992,49973000,50.058,-26,1,2025-06-20T17:00:00.000000Z
2025-06-20T17:30:00.000000Z,INVERT:002944,3898,5.22,5.18,5.16,5.7,409.22,3906,49975000,50.052,-22,1,2025-06-20T17:30:00.000000Z
2025-06-20T18:00:00.000000Z,INVERT:002944,2300,3.12,3.08,3.1,3.56,417.26,2302,49977000,50.048,-28,1,2025-06-20T18:00:00.000000Z
2025-06-20T18:30:00.000000Z,INVERT:002944,1410,2.0,1.967,2.0,2.417,415.65,1417,49978000,50.025,-25,1,2025-06-20T18:30:00.000000Z
2025-06-20T19:00:00.000000Z,INVERT:002944,878,1.367,1.35,1.35,1.733,402.6,887,49978000,49.938,-30,1,2025-06-20T19:00:00.000000Z
2025-06-20T19:30:00.000000Z,INVERT:002944,536,0.98,0.96,0.96,1.28,397.78,542,49979000,50.052,-30,1,2025-06-20T19:30:00.000000Z
2025-06-20T20:00:00.000000Z,INVERT:002944,293,0.783,0.733,0.767,0.933,397.617,302,49979000,50.05,-33,1,2025-06-20T20:00:00.000000Z
2025-06-20T20:30:00.000000Z,INVERT:002944,90,0.717,0.683,0.717,0.683,403.25,95,49979000,49.893,-30,1,2025-06-20T20:30:00.000000Z
2025-06-20T21:00:00.000000Z,INVERT:002944,32,0.7,0.667,0.7,0.517,379.333,20,49979000,50.052,-33,1,2025-06-20T21:00:00.000000Z
2025-06-20T21:30:00.000000Z,INVERT:002944,33,0.75,0.7,0.7,0.45,269.733,20,49979000,49.955,-35,1,2025-06-20T21:30:00.000000Z
2025-06-20T22:00:00.000000Z,INVERT:002944,25,0.75,0.7,0.75,0.4,163.45,20,49979000,49.93,-25,1,2025-06-20T22:00:00.000000Z
2025-06-20T23:00:00.000000Z,INVERT:002944,20,0.7,0.7,0.8,0.4,147.9,20,49979000,49.93,-20,1,2025-06-20T23:00:00.000000Z
2025-06-21T03:00:00.000000Z,INVERT:002944,20,0.35,0.6,0.35,0.2,283.2,20,49979000,49.93,-20,1,2025-06-21T03:00:00.000000Z
2025-06-21T03:30:00.000000Z,INVERT:002944,53,0.6,0.533,0.6,0.317,402.183,58,49979000,49.957,-25,1,2025-06-21T03:30:00.000000Z
2025-06-21T04:00:00.000000Z,INVERT:002944,222,0.7,0.65,0.65,0.533,407.75,225,49979000,49.983,-27,1,2025-06-21T04:00:00.000000Z
2025-06-21T04:30:00.000000Z,INVERT:002944,505,0.967,0.9,0.933,0.917,407.317,510,49979000,50.075,-28,1,2025-06-21T04:30:00.000000Z
2025-06-21T05:00:00.000000Z,INVERT:002944,1018,1.533,1.517,1.517,1.533,415.233,1025,49980000,49.933,-30,1,2025-06-21T05:00:00.000000Z
2025-06-21T05:30:00.000000Z,INVERT:002944,1203,1.783,1.783,1.75,1.783,414.95,1208,49980000,50.04,-30,1,2025-06-21T05:30:00.000000Z
2025-06-21T06:00:00.000000Z,INVERT:002944,1670,2.383,2.367,2.383,2.333,418.533,1677,49981000,49.9,-32,1,2025-06-21T06:00:00.000000Z
2025-06-21T06:30:00.000000Z,INVERT:002944,2215,3.083,3.05,3.033,3.05,422.45,2220,49982000,49.992,-28,1,2025-06-21T06:30:00.000000Z
2025-06-21T07:00:00.000000Z,INVERT:002944,3208,4.333,4.333,4.317,4.317,422.567,3215,49983000,49.907,-32,1,2025-06-21T07:00:00.000000Z
2025-06-21T07:30:00.000000Z,INVERT:002944,3810,5.133,5.167,5.133,4.983,428.133,3818,49985000,49.953,-30,1,2025-06-21T07:30:00.000000Z
2025-06-21T08:00:00.000000Z,INVERT:002944,4338,5.783,5.85,5.783,5.717,421.717,4342,49987000,49.888,-33,1,2025-06-21T08:00:00.000000Z
2025-06-21T08:30:00.000000Z,INVERT:002944,5982,8.05,8.067,8.017,7.75,421.283,5988,49989000,49.887,-33,1,2025-06-21T08:30:00.000000Z
2025-06-21T09:00:00.000000Z,INVERT:002944,5738,7.667,7.733,7.65,7.617,417.0,5743,49992000,49.898,-30,1,2025-06-21T09:00:00.000000Z
2025-06-21T09:30:00.000000Z,INVERT:002944,6770,9.067,9.133,9.05,8.933,416.7,6775,49995000,49.875,-37,1,2025-06-21T09:30:00.000000Z
2025-06-21T10:00:00.000000Z,INVERT:002944,6877,9.2,9.267,9.2,9.083,415.667,6882,49998000,49.81,-30,1,2025-06-21T10:00:00.000000Z
2025-06-21T10:30:00.000000Z,INVERT:002944,14770,19.617,19.733,19.55,19.367,406.533,14775,50002000,49.89,-38,1,2025-06-21T10:30:00.000000Z
2025-06-21T11:00:00.000000Z,INVERT:002944,15182,20.117,20.217,20.05,20.55,391.267,15190,50009000,49.943,-40,1,2025-06-21T11:00:00.000000Z
2025-06-21T11:30:00.000000Z,INVERT:002944,10905,14.533,14.567,14.45,14.933,392.6,10915,50017000,49.968,-28,1,2025-06-21T11:30:00.000000Z
2025-06-21T12:00:00.000000Z,INVERT:002944,7898,10.5,10.517,10.467,10.767,408.0,7907,50022000,49.948,-25,1,2025-06-21T12:00:00.000000Z
2025-06-21T12:30:00.000000Z,INVERT:002944,7957,10.55,10.6,10.5,11.0,405.317,7965,50026000,50.015,-22,1,2025-06-21T12:30:00.000000Z
2025-06-21T13:00:00.000000Z,INVERT:002944,8370,11.083,11.15,11.017,11.283,409.6,8372,50030000,50.078,-23,1,2025-06-21T13:00:00.000000Z
2025-06-21T13:30:00.000000Z,INVERT:002944,8763,11.633,11.667,11.567,12.067,401.85,8770,50034000,50.063,-17,1,2025-06-21T13:30:00.000000Z
2025-06-21T14:00:00.000000Z,INVERT:002944,3628,4.867,4.867,4.833,5.35,416.867,3632,50038000,49.988,-12,1,2025-06-21T14:00:00.000000Z
2025-06-21T14:30:00.000000Z,INVERT:002944,1962,2.683,2.7,2.683,3.083,418.1,1972,50040000,49.978,-10,1,2025-06-21T14:30:00.000000Z
2025-06-21T15:00:00.000000Z,INVERT:002944,1642,2.283,2.317,2.25,2.567,418.767,1647,50041000,50.048,,1,2025-06-21T15:00:00.000000Z
2025-06-21T15:30:00.000000Z,INVERT:002944,8287,11.0,11.05,10.967,10.583,420.4,8297,50042000,50.068,-3,1,2025-06-21T15:30:00.000000Z
2025-06-21T16:00:00.000000Z,INVERT:002944,10038,13.267,13.383,13.267,13.133,413.8,10045,50046000,50.007,7,1,2025-06-21T16:00:00.000000Z
2025-06-21T16:30:00.000000Z,INVERT:002944,6877,9.117,9.15,9.067,9.517,406.7,6882,50051000,49.977,3,1,2025-06-21T16:30:00.000000Z
2025-06-21T17:00:00.000000Z,INVERT:002944,4917,6.483,6.583,6.5,6.933,411.9,4922,50054000,49.957,10,1,2025-06-21T17:00:00.000000Z
2025-06-21T17:30:00.000000Z,INVERT:002944,4312,5.733,5.767,5.75,6.033,417.783,4315,50057000,50.022,10,1,2025-06-21T17:30:00.000000Z
2025-06-21T18:00:00.000000Z,INVERT:002944,2567,3.4,3.45,3.4,3.817,420.75,2572,50059000,49.922,10,1,2025-06-21T18:00:00.000000Z
2025-06-21T18:30:00.000000Z,INVERT:002944,1590,2.22,2.22,2.22,2.54,417.38,1600,50060000,49.848,10,1,2025-06-21T18:30:00.000000Z
2025-06-21T19:00:00.000000Z,INVERT:002944,1075,1.5,1.517,1.483,1.867,408.183,1083,50061000,49.955,10,1,2025-06-21T19:00:00.000000Z
2025-06-21T19:30:00.000000Z,INVERT:002944,678,1.0,1.067,1.0,1.3,400.933,682,50061000,49.908,10,1,2025-06-21T19:30:00.000000Z
2025-06-21T20:00:00.000000Z,INVERT:002944,457,0.767,0.817,0.733,1.0,401.217,462,50062000,50.09,10,1,2025-06-21T20:00:00.000000Z
2025-06-21T20:30:00.000000Z,INVERT:002944,87,0.45,0.45,0.417,0.55,386.483,92,50062000,49.895,10,1,2025-06-21T20:30:00.000000Z
2025-06-21T21:00:00.000000Z,INVERT:002944,13,0.433,0.417,0.417,0.4,375.617,20,50062000,49.933,12,1,2025-06-21T21:00:00.000000Z
2025-06-21T21:30:00.000000Z,INVERT:002944,16,0.46,0.4,0.4,0.34,259.34,20,50062000,49.994,12,1,2025-06-21T21:30:00.000000Z
2025-06-21T22:30:00.000000Z,INVERT:002944,20,0.5,0.4,0.4,0.3,187.9,20,50062000,50.12,10,1,2025-06-21T22:30:00.000000Z
2025-06-22T03:00:00.000000Z,INVERT:002944,10,0.4,0.4,0.4,0.2,293.067,20,50062000,50.0,10,1,2025-06-22T03:00:00.000000Z
2025-06-22T03:30:00.000000Z,INVERT:002944,118,0.45,0.417,0.433,0.433,400.0,127,50062000,50.077,10,1,2025-06-22T03:30:00.000000Z
2025-06-22T04:00:00.000000Z,INVERT:002944,600,0.95,0.9,0.917,1.0,414.967,610,50062000,50.028,10,1,2025-06-22T04:00:00.000000Z
2025-06-22T04:30:00.000000Z,INVERT:002944,1662,2.3,2.233,2.25,2.267,424.183,1670,50062000,49.975,10,1,2025-06-22T04:30:00.000000Z
2025-06-22T05:00:00.000000Z,INVERT:002944,3095,4.117,4.067,4.083,4.0,430.317,3100,50063000,49.972,10,1,2025-06-22T05:00:00.000000Z
2025-06-22T05:30:00.000000Z,INVERT:002944,3903,5.3,5.183,5.217,4.983,429.583,3908,50065000,49.955,10,1,2025-06-22T05:30:00.000000Z
