timestamp,emigId,apparentPower,currentL1,currentL2,currentL3,dcCurrent,dcVoltage,importActivePower,importEnergy,mainsFrequency,reactivePower,stateCode,ts:
2025-02-13T07:30:00.000000Z,INVERT:001133,293,1.917,1.817,1.5,0.0,0.0,308,2618000,49.943,2863311667,3,2025-02-13T07:30:00.000000Z
2025-02-13T08:00:00.000000Z,INVERT:001133,1293,2.633,2.583,2.15,0.0,0.0,1328,2618000,50.09,4294967500,3,2025-02-13T08:00:00.000000Z
2025-02-13T08:30:00.000000Z,INVERT:001133,3188,4.567,4.6,4.15,0.0,0.0,3210,2619000,49.898,4294967500,3,2025-02-13T08:30:00.000000Z
2025-02-13T09:00:00.000000Z,INVERT:001133,5548,7.6,7.6,7.25,0.0,0.0,5570,2621000,49.982,4294967500,3,2025-02-13T09:00:00.000000Z
2025-02-13T09:30:00.000000Z,INVERT:001133,8067,10.9,10.867,10.55,0.0,0.0,8092,2624000,50.062,4294967500,3,2025-02-13T09:30:00.000000Z
2025-02-13T10:00:00.000000Z,INVERT:001133,11623,15.717,15.75,15.35,0.0,0.0,11655,2628000,50.062,4294967500,3,2025-02-13T10:00:00.000000Z
2025-02-13T10:30:00.000000Z,INVERT:001133,13157,17.833,17.917,17.533,0.0,0.0,13188,2634000,49.908,4294967500,3,2025-02-13T10:30:00.000000Z
2025-02-13T11:00:00.000000Z,INVERT:001133,16272,21.683,21.717,21.367,0.0,0.0,16288,2640000,49.942,4294967500,3,2025-02-13T11:00:00.000000Z
2025-02-13T11:30:00.000000Z,INVERT:001133,23032,30.417,30.45,30.117,0.0,0.0,23057,2649000,50.06,4294967500,3,2025-02-13T11:30:00.000000Z
2025-02-13T12:00:00.000000Z,INVERT:001133,23572,31.2,31.217,30.85,0.0,0.0,23600,2660000,49.942,4294967500,3,2025-02-13T12:00:00.000000Z
2025-02-13T12:30:00.000000Z,INVERT:001133,19550,25.967,26.033,25.7,0.0,0.0,19573,2672000,50.048,4294967500,3,2025-02-13T12:30:00.000000Z
2025-02-13T13:00:00.000000Z,INVERT:001133,15388,20.65,20.65,20.317,0.0,0.0,15422,2682000,49.903,4294967500,3,2025-02-13T13:00:00.000000Z
2025-02-13T13:30:00.000000Z,INVERT:001133,14448,19.367,19.367,18.983,0.0,0.0,14478,2689000,50.022,4294967500,3,2025-02-13T13:30:00.000000Z
2025-02-13T14:00:00.000000Z,INVERT:001133,11155,15.033,15.033,14.717,0.0,0.0,11178,2697000,49.975,4294967417,3,2025-02-13T14:00:00.000000Z
2025-02-13T14:30:00.000000Z,INVERT:001133,8338,11.2,11.167,10.85,0.0,0.0,8363,2702000,50.045,3579139583,3,2025-02-13T14:30:00.000000Z
2025-02-13T15:00:00.000000Z,INVERT:001133,4963,6.85,6.883,6.35,0.0,0.0,4998,2706000,50.012,4294967417,3,2025-02-13T15:00:00.000000Z
2025-02-13T15:30:00.000000Z,INVERT:001133,2428,3.8,3.717,3.3,0.0,0.0,2453,2708000,50.067,3579139583,3,2025-02-13T15:30:00.000000Z
2025-02-13T16:00:00.000000Z,INVERT:001133,1207,2.55,2.433,2.017,0.0,0.0,1222,2710000,49.993,3579139502,3,2025-02-13T16:00:00.000000Z
2025-02-13T16:30:00.000000Z,INVERT:001133,337,1.983,1.85,1.617,0.0,0.0,343,2710000,50.042,3579139502,3,2025-02-13T16:30:00.000000Z
2025-02-13T17:00:00.000000Z,INVERT:001133,108,1.633,1.617,1.467,0.0,0.0,80,2710000,50.01,4294967417,3,2025-02-13T17:00:00.000000Z
2025-02-13T17:30:00.000000Z,INVERT:001133,123,1.633,1.5,1.45,0.0,0.0,80,2710000,50.075,3579139587,3,2025-02-13T17:30:00.000000Z
2025-02-13T18:00:00.000000Z,INVERT:001133,100,1.4,1.267,1.233,0.0,0.0,60,2710000,50.087,4294967333,3,2025-02-13T18:00:00.000000Z
2025-02-14T07:00:00.000000Z,INVERT:001133,147,1.8,1.767,1.533,0.0,0.0,153,2710000,49.927,4294967500,3,2025-02-14T07:00:00.000000Z
2025-02-14T07:30:00.000000Z,INVERT:001133,1860,3.383,3.25,3.083,0.0,0.0,1882,2710000,49.982,4294967417,3,2025-02-14T07:30:00.000000Z
2025-02-14T08:00:00.000000Z,INVERT:001133,5872,7.983,8.05,7.817,0.0,0.0,5902,2712000,49.977,4294967500,3,2025-02-14T08:00:00.000000Z
2025-02-14T08:30:00.000000Z,INVERT:001133,8543,11.533,11.5,11.35,0.0,0.0,8562,2715000,50.023,4294967500,3,2025-02-14T08:30:00.000000Z
2025-02-14T09:00:00.000000Z,INVERT:001133,15318,20.583,20.583,20.283,0.0,0.0,15345,2719000,50.007,4294967500,3,2025-02-14T09:00:00.000000Z
2025-02-14T09:30:00.000000Z,INVERT:001133,15333,20.583,20.55,20.317,0.0,0.0,15365,2727000,50.023,4294967417,3,2025-02-14T09:30:00.000000Z
2025-02-14T10:00:00.000000Z,INVERT:001133,21622,28.917,28.95,28.7,0.0,0.0,21668,2735000,49.99,3579139500,3,2025-02-14T10:00:00.000000Z
2025-02-14T10:30:00.000000Z,INVERT:001133,23353,31.183,31.183,30.967,0.0,0.0,23393,2746000,50.04,4294967417,3,2025-02-14T10:30:00.000000Z
2025-02-14T11:00:00.000000Z,INVERT:001133,34962,46.45,46.433,46.167,0.0,0.0,34943,2758000,50.0,4294967500,3,2025-02-14T11:00:00.000000Z
2025-02-14T11:30:00.000000Z,INVERT:001133,37568,49.883,49.883,49.667,0.0,0.0,37587,2777000,50.007,4294967417,3,2025-02-14T11:30:00.000000Z
2025-02-14T12:00:00.000000Z,INVERT:001133,27707,37.05,36.967,36.7,0.0,0.0,27748,2795000,49.98,4294967500,3,2025-02-14T12:00:00.000000Z
2025-02-14T12:30:00.000000Z,INVERT:001133,24658,32.783,32.767,32.467,0.0,0.0,24685,2809000,49.968,4294967500,3,2025-02-14T12:30:00.000000Z
2025-02-14T13:00:00.000000Z,INVERT:001133,28670,37.9,37.883,37.633,0.0,0.0,28692,2821000,49.977,4294967500,3,2025-02-14T13:00:00.000000Z
2025-02-14T13:30:00.000000Z,INVERT:001133,30302,40.65,40.533,40.35,0.0,0.0,30340,2836000,49.977,4294967500,3,2025-02-14T13:30:00.000000Z
2025-02-14T14:00:00.000000Z,INVERT:001133,23603,31.8,31.767,31.45,0.0,0.0,23612,2851000,49.957,4294967500,3,2025-02-14T14:00:00.000000Z
2025-02-14T14:30:00.000000Z,INVERT:001133,17055,23.0,23.017,22.783,0.0,0.0,17085,2862000,49.918,4294967500,3,2025-02-14T14:30:00.000000Z
2025-02-14T15:00:00.000000Z,INVERT:001133,12485,16.883,16.833,16.65,0.0,0.0,12522,2870000,49.92,4294967500,3,2025-02-14T15:00:00.000000Z
2025-02-14T15:30:00.000000Z,INVERT:001133,5577,7.867,7.8,7.383,0.0,0.0,5607,2877000,49.883,4294967500,3,2025-02-14T15:30:00.000000Z
2025-02-14T16:00:00.000000Z,INVERT:001133,2182,3.767,3.517,3.117,0.0,0.0,2212,2879000,49.928,4294967500,3,2025-02-14T16:00:00.000000Z
2025-02-14T16:30:00.000000Z,INVERT:001133,940,2.567,2.383,1.95,0.0,0.0,963,2880000,50.068,4294967500,3,2025-02-14T16:30:00.000000Z
2025-02-14T17:00:00.000000Z,INVERT:001133,127,2.033,1.783,1.7,0.0,0.0,113,2881000,49.95,3579139585,3,2025-02-14T17:00:00.000000Z
2025-02-14T17:30:00.000000Z,INVERT:001133,136,2.02,1.72,1.62,0.0,0.0,80,2881000,50.02,4294967400,3,2025-02-14T17:30:00.000000Z
2025-02-14T18:00:00.000000Z,INVERT:001133,75,0.9,0.95,0.95,0.0,0.0,50,2881000,49.855,2147483750,3,2025-02-14T18:00:00.000000Z
2025-02-15T07:00:00.000000Z,INVERT:001133,100,1.9,1.8,1.7,0.0,0.0,80,2881000,50.02,4294967500,3,2025-02-15T07:00:00.000000Z
2025-02-15T07:30:00.000000Z,INVERT:001133,148,2.167,1.95,1.833,0.0,0.0,153,2881000,49.953,4294967500,3,2025-02-15T07:30:00.000000Z
2025-02-15T08:00:00.000000Z,INVERT:001133,1108,2.667,2.533,2.2,0.0,0.0,1117,2881000,50.018,2863311508,3,2025-02-15T08:00:00.000000Z
2025-02-15T08:30:00.000000Z,INVERT:001133,2543,4.05,3.983,3.6,0.0,0.0,2577,2881000,50.042,3579139505,3,2025-02-15T08:30:00.000000Z
2025-02-15T09:00:00.000000Z,INVERT:001133,5237,7.3,7.317,6.867,0.0,0.0,5265,2883000,50.055,2863311672,3,2025-02-15T09:00:00.000000Z
2025-02-15T09:30:00.000000Z,INVERT:001133,6847,9.4,9.383,8.933,0.0,0.0,6873,2885000,50.073,4294967417,3,2025-02-15T09:30:00.000000Z
2025-02-15T10:00:00.000000Z,INVERT:001133,11173,15.317,15.25,14.817,0.0,0.0,11202,2889000,50.04,3579139500,3,2025-02-15T10:00:00.000000Z
2025-02-15T10:30:00.000000Z,INVERT:001133,9926,13.62,13.46,13.18,0.0,0.0,9954,2895000,49.986,4294967400,3,2025-02-15T10:30:00.000000Z
2025-02-15T11:00:00.000000Z,INVERT:001133,9213,12.483,12.35,12.167,0.0,0.0,9243,2900000,50.028,4294967500,3,2025-02-15T11:00:00.000000Z
2025-02-15T11:30:00.000000Z,INVERT:001133,6748,9.2,9.1,8.8,0.0,0.0,6778,2904000,49.985,4294967500,3,2025-02-15T11:30:00.000000Z
2025-02-15T12:00:00.000000Z,INVERT:001133,10412,14.017,14.067,13.55,0.0,0.0,10413,2907000,49.947,4294967500,3,2025-02-15T12:00:00.000000Z
2025-02-15T12:30:00.000000Z,INVERT:001133,9990,13.483,13.367,13.117,0.0,0.0,10017,2913000,50.002,4294967500,3,2025-02-15T12:30:00.000000Z
2025-02-15T13:00:00.000000Z,INVERT:001133,6970,9.517,9.467,8.983,0.0,0.0,7003,2918000,50.015,4294967333,3,2025-02-15T13:00:00.000000Z
2025-02-15T13:30:00.000000Z,INVERT:001133,8320,11.317,11.15,10.867,0.0,0.0,8343,2921000,49.997,2863311587,3,2025-02-15T13:30:00.000000Z
2025-02-15T14:00:00.000000Z,INVERT:001133,13187,17.817,17.7,17.333,0.0,0.0,13188,2925000,50.068,4294967333,3,2025-02-15T14:00:00.000000Z
2025-02-15T14:30:00.000000Z,INVERT:001133,9540,12.867,12.767,12.5,0.0,0.0,9565,2932000,50.118,2863311668,3,2025-02-15T14:30:00.000000Z
2025-02-15T15:00:00.000000Z,INVERT:001133,4648,6.55,6.6,5.967,0.0,0.0,4678,2937000,50.01,4294967417,3,2025-02-15T15:00:00.000000Z
2025-02-15T15:30:00.000000Z,INVERT:001133,2570,4.167,4.017,3.567,0.0,0.0,2595,2939000,49.973,4294967500,3,2025-02-15T15:30:00.000000Z
2025-02-15T16:00:00.000000Z,INVERT:001133,1873,3.55,3.367,2.967,0.0,0.0,1908,2940000,49.93,4294967500,3,2025-02-15T16:00:00.000000Z
2025-02-15T16:30:00.000000Z,INVERT:001133,792,2.55,2.383,2.117,0.0,0.0,817,2941000,50.028,2863311507,3,2025-02-15T16:30:00.000000Z
2025-02-15T17:00:00.000000Z,INVERT:001133,93,2.017,1.867,1.7,0.0,0.0,80,2941000,49.93,4294967500,3,2025-02-15T17:00:00.000000Z
2025-02-15T17:30:00.000000Z,INVERT:001133,142,2.2,2.0,1.9,0.0,0.0,80,2941000,49.888,3579139500,3,2025-02-15T17:30:00.000000Z
2025-02-15T18:00:00.000000Z,INVERT:001133,112,1.76,1.62,1.5,0.0,0.0,68,2942000,49.928,4294967500,3,2025-02-15T18:00:00.000000Z
2025-02-16T07:00:00.000000Z,INVERT:001133,180,2.125,1.975,1.825,0.0,0.0,205,2942000,49.917,3221225375,3,2025-02-16T07:00:00.000000Z
2025-02-16T07:30:00.000000Z,INVERT:001133,945,2.317,2.283,2.033,0.0,0.0,977,2942000,49.878,4294967500,3,2025-02-16T07:30:00.000000Z
2025-02-16T08:00:00.000000Z,INVERT:001133,2528,3.933,3.833,3.55,0.0,0.0,2555,2942000,50.042,4294967500,3,2025-02-16T08:00:00.000000Z
2025-02-16T08:30:00.000000Z,INVERT:001133,2855,4.317,4.233,3.95,0.0,0.0,2878,2944000,50.095,4294967500,3,2025-02-16T08:30:00.000000Z
2025-02-16T09:00:00.000000Z,INVERT:001133,6310,8.683,8.55,8.333,0.0,0.0,6355,2945000,50.007,3579139500,3,2025-02-16T09:00:00.000000Z
2025-02-16T09:30:00.000000Z,INVERT:001133,4693,6.583,6.433,6.267,0.0,0.0,4725,2948000,50.002,4294967417,3,2025-02-16T09:30:00.000000Z
2025-02-16T10:00:00.000000Z,INVERT:001133,10800,14.6,14.517,14.367,0.0,0.0,10825,2951000,50.098,4294967500,3,2025-02-16T10:00:00.000000Z
2025-02-16T10:30:00.000000Z,INVERT:001133,7913,10.783,10.683,10.55,0.0,0.0,7937,2956000,50.013,4294967500,3,2025-02-16T10:30:00.000000Z
2025-02-16T11:00:00.000000Z,INVERT:001133,13770,18.7,18.6,18.367,0.0,0.0,13793,2961000,49.897,4294967500,3,2025-02-16T11:00:00.000000Z
2025-02-16T11:30:00.000000Z,INVERT:001133,15368,20.733,20.65,20.35,0.0,0.0,15398,2968000,49.898,4294967500,3,2025-02-16T11:30:00.000000Z
2025-02-16T12:00:00.000000Z,INVERT:001133,15032,20.267,20.167,19.9,0.0,0.0,15077,2975000,49.892,4294967417,3,2025-02-16T12:00:00.000000Z
2025-02-16T12:30:00.000000Z,INVERT:001133,20145,27.025,27.025,26.775,0.0,0.0,20193,2983000,49.895,3221225502,3,2025-02-16T12:30:00.000000Z
2025-02-16T13:00:00.000000Z,INVERT:001133,12860,17.45,17.4,17.05,0.0,0.0,12890,2995000,49.935,3221225505,3,2025-02-16T13:00:00.000000Z
2025-02-16T13:30:00.000000Z,INVERT:001133,8063,10.933,10.967,10.533,0.0,0.0,8087,2999000,49.947,1431655670,3,2025-02-16T13:30:00.000000Z
2025-02-16T14:00:00.000000Z,INVERT:001133,7933,10.825,10.65,10.475,0.0,0.0,7958,3003000,49.972,4294967250,3,2025-02-16T14:00:00.000000Z
2025-02-16T14:30:00.000000Z,INVERT:001133,7590,10.3,10.2,9.733,0.0,0.0,7613,3007000,50.06,2863311507,3,2025-02-16T14:30:00.000000Z
2025-02-16T15:00:00.000000Z,INVERT:001133,4590,6.4,6.275,6.0,0.0,0.0,4625,3011000,49.905,2147483515,3,2025-02-16T15:00:00.000000Z
2025-02-16T15:30:00.000000Z,INVERT:001133,4290,6.2,6.1,5.667,0.0,0.0,4327,3013000,49.927,4294967333,3,2025-02-16T15:30:00.000000Z
2025-02-16T16:00:00.000000Z,INVERT:001133,2464,4.02,3.9,3.68,0.0,0.0,2490,3015000,50.058,2576980410,3,2025-02-16T16:00:00.000000Z
