plant_uid,alias,current_dc_kw,peak_power_kw,peak_ratio,implied_dc_kw,inverter_count,suggested_dc_kw
AMP:00024,Blachford UK,333.0,76.834,0.23073273273273273,96.0425,3,96.0
AMP:00001,Cromwell Tools,999.8,201.011,0.20105121024204842,251.26375,6,251.0
AMP:00031,Finlay Beverages,1600.0,932.348,0.5827175,1165.435,12,1165.0
AMP:00032,FloPlast,1584.0,0.0,0.0,0.0,9,0.0
AMP:00002,Hibernian Stadium,117.0,90.258,0.7714358974358974,112.82249999999999,1,113.0
AMP:00003,Hibernian Training Ground,90.0,82.973,0.9219222222222222,103.71624999999999,2,104.0
AMP:00019,Man City FC Training Ground,2275.1,535.74,0.23547975913146676,669.675,22,670.0
AMP:00025,Merry Hill Shopping Centre,996.0,246.039,0.24702710843373493,307.54875,22,308.0
AMP:00027,Metrocentre,739.53,175.451,0.23724662961610754,219.31374999999997,17,219.0
ERS:00001,Newfold Farm,9630.0,1299512.005,134.94413343717548,1624390.0062499999,23,1624390.0
AMP:00026,Parfetts Birmingham,384.0,281.047,0.7318932291666668,351.30875000000003,3,351.0
AMP:00020,Sheldons Bakery,226.35,0.0,0.0,0.0,2,0.0
AMP:00028,Smithy's Mushrooms,224.0,195.697,0.8736473214285715,244.62125,3,245.0
AMP:00033,Smithy's Mushrooms PH2,543.0,198.989,0.36646224677716394,248.73624999999998,7,249.0
AMP:00029,Sofina Foods,1015.48,807.542,0.7952318115570962,1009.4275,7,1009.0
