plant_uid,alias,current_dc_kw,sum_inverter_peaks_kw,ratio_percent,new_dc_kw,notes
AMP:00024,Blachford UK,333,76.83,0,,
AMP:00001,Cromwell Tools,999.8,201.01,20,,
AMP:00031,Finlay Beverages,1600,932.35,51,,
AMP:00032,FloPlast,1584,0,0,,
AMP:00002,Hibernian Stadium,117,90.26,5,,
AMP:00003,Hibernian Training Ground,90,82.97,40,,
AMP:00019,Man City FC Training Ground,2275.1,535.74,24,,
AMP:00025,Merry Hill Shopping Centre,996,246.04,14,,
AMP:00027,Metrocentre,739.53,175.45,24,,
ERS:00001,Newfold Farm,9630,1299512,0,,
AMP:00026,Parfetts Birmingham,384,281.05,45,,
AMP:00020,Sheldons Bakery,226.35,0,0,,
AMP:00028,Smithy's Mushrooms,224,195.7,26,,
AMP:00033,Smithy's Mushrooms PH2,543,198.99,221,,
AMP:00029,Sofina Foods,1015.48,807.54,80,,
