timestamp,apparentPower,currentL1,currentL2,currentL3,dcCurrent,dcVoltage,deviceTemperature,emigId,exportEnergy,exportLimit,importActivePower,importEnergy,mainsFrequency,powerFactor,reactivePower,stateCode,ts:,voltageL1L2,voltageL1L3,voltageL1N,voltageL2L3,voltageL2N,voltageL3N
2025-11-20T04:00:00.000000Z,,,,,,0.3,16.501,INVERT:001116,,93.257,,245954000,50.106,,,16.501,2025-11-20T04:00:00.000000Z,412.395,413.33,237.958,414.659,239.002,239.357
2025-11-20T07:00:00.000000Z,,,,,,74.577,18.061,INVERT:001116,,100.0,,245954000,49.913,,,18.061,2025-11-20T07:00:00.000000Z,407.857,408.262,235.41,409.046,236.189,235.792
2025-11-20T07:30:00.000000Z,620,2.684,2.561,2.609,,655.347,22.499,INVERT:001116,,100.0,480,245954000,49.969,,,22.499,2025-11-20T07:30:00.000000Z,409.727,410.114,236.46,411.19,237.273,237.145
2025-11-20T08:00:00.000000Z,1316,5.755,5.509,5.547,,720.299,26.676,INVERT:001116,,100.0,1209,245954000,49.947,,,26.676,2025-11-20T08:00:00.000000Z,408.526,409.073,235.858,410.216,236.637,236.414
2025-11-20T08:30:00.000000Z,5617,23.789,23.651,23.607,,721.402,32.734,INVERT:001116,,100.0,5577,245956992,50.002,,,32.734,2025-11-20T08:30:00.000000Z,408.494,409.682,235.905,410.61,236.765,236.809
2025-11-20T09:00:00.000000Z,3608,15.471,15.263,15.257,,718.239,35.387,INVERT:001116,,100.0,3548,245964992,50.01,,,35.387,2025-11-20T09:00:00.000000Z,406.767,407.726,234.907,408.868,235.665,235.764
2025-11-20T09:30:00.000000Z,5400,22.886,22.731,22.723,,721.229,38.357,INVERT:001116,,100.0,5353,245971008,50.083,,,38.357,2025-11-20T09:30:00.000000Z,408.653,409.467,235.863,410.623,236.678,236.843
2025-11-20T10:00:00.000000Z,5049,21.333,21.17,21.174,,724.45,39.649,INVERT:001116,,100.0,4995,245979008,50.117,,,39.649,2025-11-20T10:00:00.000000Z,410.168,410.892,236.639,412.191,237.616,237.806
2025-11-20T10:30:00.000000Z,5246,22.258,22.066,22.08,,721.651,39.8,INVERT:001116,,100.0,5198,245987008,50.026,,,39.8,2025-11-20T10:30:00.000000Z,408.932,409.594,235.854,411.02,236.939,237.052
2025-11-20T11:00:00.000000Z,6012,25.51,25.438,25.385,,719.562,37.79,INVERT:001116,,100.0,5973,245995008,50.101,,,37.79,2025-11-20T11:00:00.000000Z,407.734,408.177,235.036,409.565,236.25,236.176
2025-11-20T11:30:00.000000Z,8575,36.249,36.142,36.104,,719.533,40.042,INVERT:001116,,100.0,8540,246004992,49.996,,,40.042,2025-11-20T11:30:00.000000Z,407.702,408.545,234.993,409.82,236.331,236.416
2025-11-20T12:00:00.000000Z,3890,16.599,16.424,16.404,,719.728,35.308,INVERT:001116,,100.0,3831,246016000,50.114,,,35.308,2025-11-20T12:00:00.000000Z,407.249,408.481,235.045,409.621,236.111,236.323
2025-11-20T12:30:00.000000Z,6251,26.342,26.198,26.205,,724.376,37.595,INVERT:001116,,100.0,6215,246022000,49.977,,,37.595,2025-11-20T12:30:00.000000Z,409.436,411.169,236.499,411.908,237.255,237.872
2025-11-20T13:00:00.000000Z,4182,17.817,17.642,17.632,,720.291,39.0,INVERT:001116,,100.0,4123,246032000,49.98,,,39.0,2025-11-20T13:00:00.000000Z,407.808,408.87,235.289,409.769,236.34,236.42
2025-11-20T13:30:00.000000Z,4439,18.855,18.705,18.672,,721.463,39.606,INVERT:001116,,100.0,4388,246038000,50.077,,,39.606,2025-11-20T13:30:00.000000Z,408.117,409.559,235.854,410.247,236.689,236.468
2025-11-20T14:00:00.000000Z,3472,14.822,14.637,14.616,,722.323,39.715,INVERT:001116,,100.0,3413,246044992,50.12,,,39.715,2025-11-20T14:00:00.000000Z,408.334,410.054,236.365,410.482,236.59,236.643
2025-11-20T14:30:00.000000Z,2342,10.075,9.828,9.821,,724.457,39.4,INVERT:001116,,100.0,2280,246050000,50.067,,,39.4,2025-11-20T14:30:00.000000Z,409.342,411.103,236.714,411.8,237.176,237.525
2025-11-20T15:00:00.000000Z,2507,10.756,10.577,10.543,,722.309,39.449,INVERT:001116,,100.0,2444,246054000,50.093,,,39.449,2025-11-20T15:00:00.000000Z,408.874,410.061,236.286,411.075,236.99,236.94
2025-11-20T15:30:00.000000Z,942,4.227,3.926,3.981,,718.256,38.965,INVERT:001116,,100.0,843,246058000,50.046,,,38.965,2025-11-20T15:30:00.000000Z,406.543,407.887,234.911,408.401,235.462,235.652
2025-11-20T16:00:00.000000Z,458,2.0,1.981,1.932,,382.447,37.362,INVERT:001116,,100.0,78,246059008,50.03,,,37.362,2025-11-20T16:00:00.000000Z,407.878,409.239,235.62,409.803,236.29,236.421
