timestamp,emigId,apparentPower,currentL1,currentL2,currentL3,dcVoltage,deviceTemperature,exportLimit,importActivePower,importEnergy,mainsFrequency,stateCode,ts:,voltageL1L2,voltageL1L3,voltageL1N,voltageL2L3,voltageL2N,voltageL3N
2025-11-25T04:00:00.000000Z,INVERT:001122,,,,,0.124,5.756,100.0,,71370400,50.103,5.756,2025-11-25T04:00:00.000000Z,424.695,424.059,245.097,425.207,245.268,245.162
2025-11-25T07:30:00.000000Z,INVERT:001122,355,1.462,1.471,1.482,458.575,8.918,100.0,95,71370400,49.927,8.918,2025-11-25T07:30:00.000000Z,416.116,414.531,239.603,416.086,240.142,240.014
2025-11-25T08:00:00.000000Z,INVERT:001122,439,1.829,1.764,1.831,750.334,14.831,100.0,276,71370400,50.021,14.831,2025-11-25T08:00:00.000000Z,414.622,413.302,238.826,414.925,239.376,239.337
2025-11-25T08:30:00.000000Z,INVERT:001122,729,3.145,2.973,3.025,750.428,17.769,100.0,644,71370896,50.073,17.769,2025-11-25T08:30:00.000000Z,416.445,415.308,239.97,416.682,240.27,240.444
2025-11-25T09:00:00.000000Z,INVERT:001122,884,3.806,3.624,3.671,750.469,19.837,100.0,809,71371904,50.095,19.837,2025-11-25T09:00:00.000000Z,416.058,415.096,239.814,416.485,240.132,240.411
2025-11-25T09:30:00.000000Z,INVERT:001122,1723,7.256,7.119,7.114,750.32,21.566,100.0,1678,71373200,50.027,21.566,2025-11-25T09:30:00.000000Z,418.755,417.797,241.289,419.28,241.755,241.944
2025-11-25T10:00:00.000000Z,INVERT:001122,1551,6.511,6.369,6.392,750.381,22.727,100.0,1504,71375904,50.108,22.727,2025-11-25T10:00:00.000000Z,419.888,418.661,241.889,420.274,242.512,242.396
2025-11-25T10:30:00.000000Z,INVERT:001122,2400,10.055,9.907,9.932,750.412,23.928,100.0,2361,71378304,49.995,23.928,2025-11-25T10:30:00.000000Z,417.502,416.445,240.543,418.209,241.175,241.201
2025-11-25T11:00:00.000000Z,INVERT:001122,3094,12.842,12.77,12.751,750.37,24.83,100.0,3065,71382096,50.017,24.83,2025-11-25T11:00:00.000000Z,419.302,418.296,241.599,419.978,242.221,242.279
2025-11-25T11:30:00.000000Z,INVERT:001122,3416,14.216,14.099,14.094,750.427,26.522,100.0,3390,71386896,49.922,26.522,2025-11-25T11:30:00.000000Z,418.75,418.045,241.263,419.509,242.025,242.031
