Site,Type,kWp,Date,Actual Gen (kWh),Forecast Gen (kWh),Gen Dev. (%),kWh/kWp,Calculated Exp (kWh),Net Usage (kWh),Actual Irr (kWh/m2),Forecast Irr,Irradiance-based generation,Irr Variation (kWh),Actual PR (%),Forecast PR (%),Availability (%)
BAE Fylde,Ground,9631.71,Nov-25,230986.14,215360.55,0.072556,23.981842,223859.4,175793.78,28.103889,27.310022,233564.67,6597.641232,0.862854,0.827,0.98896
Blachford,Roof,333.0,Nov-25,6253.64,6975.81,-0.103525,18.779697,7211.48,5807.24,27.412792,26.784787,6253.64,143.265858,0.685071,0.79,1.0
City Football Group Phase 1,Roof,2205.6,Nov-25,43025.17,47260.18,-0.089611,19.507239,47724.32,38588.24,25.759282,25.766423,43603.48,-12.087473,0.767469,0.84,0.986737
Cromwell Tools,Roof,999.32,Nov-25,23009.73,24420.69,-0.057777,23.02539,23646.64,18322.68,27.838507,29.040174,23139.29,-998.822478,0.831763,0.85,0.994401
Faltec Europe Ltd,Roof,674.96,Nov-25,15876.84,16009.84,-0.008307,23.522631,16753.09,14635.37,29.408608,28.387766,15954.25,553.809917,0.803755,0.844,0.995148
Finlay Beverages,Roof,1600.2,Nov-25,35216.92,38297.57,-0.08044,22.007823,37023.13,28349.98,27.478108,28.711086,35216.92,-1580.228655,0.800922,0.842,1.0
Hazelwick School,Roof,224.94,Nov-25,4919.86,6056.67,-0.187696,21.871867,5961.99,3649.02,35.339717,36.263606,4919.86,-128.620308,0.618903,0.75,1.0
Hibernian Stadium,Roof,116.64,Nov-25,2196.44,2630.64,-0.165052,18.830972,2586.74,1937.98,25.201239,25.887822,2196.96,-59.854161,0.747401,0.88,0.999763
Hibernian Training Ground,Roof,89.91,Nov-25,2238.08,2192.91,0.020599,24.89247,2180.44,1891.32,29.5749,30.044421,2238.08,-35.53099,0.841676,0.82,1.0
Merry Hill,Roof,995.89,Nov-25,21817.3,22019.57,-0.009186,21.907341,22313.47,20434.54,29.480995,29.386554,22043.63,70.616211,0.750809,0.76,0.989733
Metro Centre,Roof,740.0,Nov-25,15975.03,17605.14,-0.092593,21.587874,17815.53,13481.36,32.979508,32.919224,16649.24,30.433406,0.682211,0.73,0.959505
Parfetts - Birmingham,Roof,386.37,Nov-25,9124.12,9590.13,-0.048593,23.614974,9796.35,7794.26,29.143505,28.818189,9154.13,102.183634,0.812965,0.87,0.996721
Smithys Mushrooms,Roof,224.4,Nov-25,5192.92,5550.3,-0.06439,23.141334,5780.42,4897.21,30.665995,29.742594,5192.92,156.366823,0.754625,0.84,1.0
Sofina Haverhill,Ground,1015.48,Nov-25,31506.94,30634.49,0.028479,31.026651,31078.82,24078.11,39.383677,39.212743,31907.83,138.487345,0.797829,0.7771,0.987436
Oasis,Roof,1723.0,Nov-25,,,0.0,,,,,,,,1.0,,1.0
